requestId,source,destination,category,urgency,timeSubmitted,deadline,status
CLN0059,1007,1007,Cleaning,1,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0060,1007,1007,Cleaning,5,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0061,1017,1017,Cleaning,4,2026-08-01T13:03:00,2026-08-02T10:00,open
CLN0062,1014,1014,Cleaning,4,2026-08-01T14:06:00,2026-08-02T11:00,open
CLN0063,1038,1038,Cleaning,3,2026-08-01T15:09:00,2026-08-02T12:00,closed
CLN0064,1048,1048,Cleaning,4,2026-08-01T08:12:00,2026-08-02T13:00,open
CLN0065,1019,1019,Cleaning,3,2026-08-01T09:15:00,2026-08-02T14:00,pending
CLN0066,1018,1018,Cleaning,3,2026-08-01T10:18:00,2026-08-02T15:00,open
CLN0067,1009,1009,Cleaning,3,2026-08-01T11:21:00,2026-08-02T16:00,open
CLN0068,1033,1033,Cleaning,4,2026-08-01T12:24:00,2026-08-02T17:00,open
CLN0069,1031,1031,Cleaning,3,2026-08-01T13:27:00,2026-08-02T18:00,open
CLN0070,1048,1048,Cleaning,4,2026-08-01T14:30:00,2026-08-02T09:00,closed
CLN0071,1044,1044,Cleaning,3,2026-08-01T15:33:00,2026-08-02T10:00,open
CLN0072,1047,1047,Cleaning,4,2026-08-01T08:36:00,2026-08-02T11:00,open
CLN0073,1040,1040,Cleaning,4,2026-08-01T09:39:00,2026-08-02T12:00,open
CLN0074,1034,1034,Cleaning,4,2026-08-01T10:42:00,2026-08-02T13:00,open
CLN0075,1038,1038,Cleaning,2,2026-08-01T11:45:00,2026-08-02T14:00,pending
CLN0076,1051,1051,Cleaning,1,2026-08-01T12:48:00,2026-08-02T15:00,open
CLN0077,1012,1012,Cleaning,1,2026-08-01T13:51:00,2026-08-02T16:00,closed
CLN0078,1032,1032,Cleaning,5,2026-08-01T14:54:00,2026-08-02T17:00,open
CLN0079,1006,1006,Cleaning,2,2026-08-01T15:57:00,2026-08-02T18:00,open
CLN0080,1038,1038,Cleaning,2,2026-08-01T08:00:00,2026-08-02T09:00,pending
CLN0081,1030,1030,Cleaning,2,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0082,1011,1011,Cleaning,1,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0083,1021,1021,Cleaning,1,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0084,1031,1031,Cleaning,5,2026-08-01T12:12:00,2026-08-02T13:00,closed
CLN0085,1035,1035,Cleaning,2,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0086,1025,1025,Cleaning,5,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0087,1027,1027,Cleaning,4,2026-08-01T15:21:00,2026-08-02T16:00,open
CLN0088,1002,1002,Cleaning,2,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0089,1018,1018,Cleaning,2,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0090,1015,1015,Cleaning,3,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0091,1037,1037,Cleaning,5,2026-08-01T11:33:00,2026-08-02T10:00,closed
CLN0092,1041,1041,Cleaning,5,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0093,1020,1020,Cleaning,1,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0094,1052,1052,Cleaning,1,2026-08-01T14:42:00,2026-08-02T13:00,open
CLN0095,1018,1018,Cleaning,2,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0096,1014,1014,Cleaning,4,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0097,1037,1037,Cleaning,4,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0098,1002,1002,Cleaning,5,2026-08-01T10:54:00,2026-08-02T17:00,closed
CLN0099,1015,1015,Cleaning,4,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0100,1024,1024,Cleaning,5,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0101,1030,1030,Cleaning,4,2026-08-01T13:03:00,2026-08-02T10:00,open
CLN0102,1049,1049,Cleaning,4,2026-08-01T14:06:00,2026-08-02T11:00,open
CLN0103,1040,1040,Cleaning,3,2026-08-01T15:09:00,2026-08-02T12:00,open
CLN0104,1053,1053,Cleaning,2,2026-08-01T08:12:00,2026-08-02T13:00,open
CLN0105,1050,1050,Cleaning,1,2026-08-01T09:15:00,2026-08-02T14:00,closed
CLN0106,1001,1001,Cleaning,4,2026-08-01T10:18:00,2026-08-02T15:00,open
CLN0107,1004,1004,Cleaning,4,2026-08-01T11:21:00,2026-08-02T16:00,open
CLN0108,1050,1050,Cleaning,1,2026-08-01T12:24:00,2026-08-02T17:00,open
CLN0109,1055,1055,Cleaning,2,2026-08-01T13:27:00,2026-08-02T18:00,open
CLN0110,1004,1004,Cleaning,4,2026-08-01T14:30:00,2026-08-02T09:00,pending
CLN0111,1026,1026,Cleaning,2,2026-08-01T15:33:00,2026-08-02T10:00,open
CLN0112,1002,1002,Cleaning,4,2026-08-01T08:36:00,2026-08-02T11:00,closed
CLN0113,1014,1014,Cleaning,4,2026-08-01T09:39:00,2026-08-02T12:00,open
CLN0114,1012,1012,Cleaning,4,2026-08-01T10:42:00,2026-08-02T13:00,open
CLN0115,1020,1020,Cleaning,3,2026-08-01T11:45:00,2026-08-02T14:00,pending
CLN0116,1036,1036,Cleaning,3,2026-08-01T12:48:00,2026-08-02T15:00,open
CLN0117,1054,1054,Cleaning,3,2026-08-01T13:51:00,2026-08-02T16:00,open
CLN0118,1007,1007,Cleaning,5,2026-08-01T14:54:00,2026-08-02T17:00,open
CLN0119,1033,1033,Cleaning,1,2026-08-01T15:57:00,2026-08-02T18:00,closed
CLN0120,1034,1034,Cleaning,1,2026-08-01T08:00:00,2026-08-02T09:00,pending
CLN0121,1032,1032,Cleaning,2,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0122,1017,1017,Cleaning,1,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0123,1029,1029,Cleaning,2,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0124,1022,1022,Cleaning,2,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0125,1021,1021,Cleaning,1,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0126,1024,1024,Cleaning,1,2026-08-01T14:18:00,2026-08-02T15:00,closed
CLN0127,1017,1017,Cleaning,1,2026-08-01T15:21:00,2026-08-02T16:00,open
CLN0128,1019,1019,Cleaning,1,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0129,1020,1020,Cleaning,5,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0130,1051,1051,Cleaning,2,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0131,1014,1014,Cleaning,5,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0132,1036,1036,Cleaning,2,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0133,1030,1030,Cleaning,3,2026-08-01T13:39:00,2026-08-02T12:00,closed
CLN0134,1006,1006,Cleaning,3,2026-08-01T14:42:00,2026-08-02T13:00,open
CLN0135,1045,1045,Cleaning,2,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0136,1010,1010,Cleaning,1,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0137,1014,1014,Cleaning,2,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0138,1021,1021,Cleaning,5,2026-08-01T10:54:00,2026-08-02T17:00,open
CLN0139,1037,1037,Cleaning,2,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0140,1034,1034,Cleaning,3,2026-08-01T12:00:00,2026-08-02T09:00,closed
CLN0141,1008,1008,Cleaning,5,2026-08-01T13:03:00,2026-08-02T10:00,open
CLN0142,1013,1013,Cleaning,3,2026-08-01T14:06:00,2026-08-02T11:00,open
CLN0143,1006,1006,Cleaning,2,2026-08-01T15:09:00,2026-08-02T12:00,open
CLN0144,1015,1015,Cleaning,4,2026-08-01T08:12:00,2026-08-02T13:00,open
CLN0145,1041,1041,Cleaning,1,2026-08-01T09:15:00,2026-08-02T14:00,pending
CLN0146,1036,1036,Cleaning,4,2026-08-01T10:18:00,2026-08-02T15:00,open
CLN0147,1025,1025,Cleaning,3,2026-08-01T11:21:00,2026-08-02T16:00,closed
CLN0148,1023,1023,Cleaning,3,2026-08-01T12:24:00,2026-08-02T17:00,open
CLN0149,1049,1049,Cleaning,1,2026-08-01T13:27:00,2026-08-02T18:00,open
CLN0150,1022,1022,Cleaning,4,2026-08-01T14:30:00,2026-08-02T09:00,pending
CLN0151,1018,1018,Cleaning,5,2026-08-01T15:33:00,2026-08-02T10:00,open
CLN0152,1010,1010,Cleaning,2,2026-08-01T08:36:00,2026-08-02T11:00,open
CLN0153,1006,1006,Cleaning,5,2026-08-01T09:39:00,2026-08-02T12:00,open
CLN0154,1004,1004,Cleaning,4,2026-08-01T10:42:00,2026-08-02T13:00,closed
CLN0155,1037,1037,Cleaning,3,2026-08-01T11:45:00,2026-08-02T14:00,pending
CLN0156,1001,1001,Cleaning,4,2026-08-01T12:48:00,2026-08-02T15:00,open
CLN0157,1045,1045,Cleaning,5,2026-08-01T13:51:00,2026-08-02T16:00,open
CLN0158,1034,1034,Cleaning,5,2026-08-01T14:54:00,2026-08-02T17:00,open
CLN0159,1041,1041,Cleaning,4,2026-08-01T15:57:00,2026-08-02T18:00,open
CLN0160,1046,1046,Cleaning,1,2026-08-01T08:00:00,2026-08-02T09:00,pending
CLN0161,1048,1048,Cleaning,1,2026-08-01T09:03:00,2026-08-02T10:00,closed
CLN0162,1050,1050,Cleaning,5,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0163,1009,1009,Cleaning,4,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0164,1035,1035,Cleaning,2,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0165,1047,1047,Cleaning,3,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0166,1039,1039,Cleaning,4,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0167,1027,1027,Cleaning,3,2026-08-01T15:21:00,2026-08-02T16:00,open
CLN0168,1027,1027,Cleaning,2,2026-08-01T08:24:00,2026-08-02T17:00,closed
CLN0169,1008,1008,Cleaning,4,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0170,1022,1022,Cleaning,2,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0171,1055,1055,Cleaning,5,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0172,1033,1033,Cleaning,2,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0173,1047,1047,Cleaning,4,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0174,1003,1003,Cleaning,4,2026-08-01T14:42:00,2026-08-02T13:00,open
CLN0175,1045,1045,Cleaning,4,2026-08-01T15:45:00,2026-08-02T14:00,closed
CLN0176,1025,1025,Cleaning,3,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0177,1037,1037,Cleaning,2,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0178,1041,1041,Cleaning,5,2026-08-01T10:54:00,2026-08-02T17:00,open
CLN0179,1012,1012,Cleaning,3,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0180,1003,1003,Cleaning,3,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0181,1014,1014,Cleaning,3,2026-08-01T13:03:00,2026-08-02T10:00,open
CLN0182,1011,1011,Cleaning,3,2026-08-01T14:06:00,2026-08-02T11:00,closed
CLN0183,1037,1037,Cleaning,5,2026-08-01T15:09:00,2026-08-02T12:00,open
CLN0184,1031,1031,Cleaning,2,2026-08-01T08:12:00,2026-08-02T13:00,open
CLN0185,1002,1002,Cleaning,1,2026-08-01T09:15:00,2026-08-02T14:00,pending
CLN0186,1011,1011,Cleaning,2,2026-08-01T10:18:00,2026-08-02T15:00,open
CLN0187,1034,1034,Cleaning,2,2026-08-01T11:21:00,2026-08-02T16:00,open
CLN0188,1038,1038,Cleaning,2,2026-08-01T12:24:00,2026-08-02T17:00,open
CLN0189,1050,1050,Cleaning,5,2026-08-01T13:27:00,2026-08-02T18:00,closed
CLN0190,1051,1051,Cleaning,4,2026-08-01T14:30:00,2026-08-02T09:00,pending
CLN0191,1053,1053,Cleaning,3,2026-08-01T15:33:00,2026-08-02T10:00,open
CLN0192,1013,1013,Cleaning,1,2026-08-01T08:36:00,2026-08-02T11:00,open
CLN0193,1013,1013,Cleaning,3,2026-08-01T09:39:00,2026-08-02T12:00,open
CLN0194,1018,1018,Cleaning,1,2026-08-01T10:42:00,2026-08-02T13:00,open
CLN0195,1051,1051,Cleaning,2,2026-08-01T11:45:00,2026-08-02T14:00,pending
CLN0196,1023,1023,Cleaning,1,2026-08-01T12:48:00,2026-08-02T15:00,closed
CLN0197,1029,1029,Cleaning,5,2026-08-01T13:51:00,2026-08-02T16:00,open
CLN0198,1051,1051,Cleaning,2,2026-08-01T14:54:00,2026-08-02T17:00,open
CLN0199,1033,1033,Cleaning,2,2026-08-01T15:57:00,2026-08-02T18:00,open
CLN0200,1048,1048,Cleaning,1,2026-08-01T08:00:00,2026-08-02T09:00,pending
CLN0201,1024,1024,Cleaning,3,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0202,1018,1018,Cleaning,4,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0203,1054,1054,Cleaning,4,2026-08-01T11:09:00,2026-08-02T12:00,closed
CLN0204,1014,1014,Cleaning,2,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0205,1011,1011,Cleaning,3,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0206,1006,1006,Cleaning,2,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0207,1018,1018,Cleaning,4,2026-08-01T15:21:00,2026-08-02T16:00,open
CLN0208,1034,1034,Cleaning,5,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0209,1004,1004,Cleaning,3,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0210,1014,1014,Cleaning,1,2026-08-01T10:30:00,2026-08-02T09:00,closed
CLN0211,1020,1020,Cleaning,4,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0212,1029,1029,Cleaning,1,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0213,1030,1030,Cleaning,1,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0214,1028,1028,Cleaning,4,2026-08-01T14:42:00,2026-08-02T13:00,open
CLN0215,1030,1030,Cleaning,4,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0216,1035,1035,Cleaning,5,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0217,1042,1042,Cleaning,4,2026-08-01T09:51:00,2026-08-02T16:00,closed
CLN0218,1012,1012,Cleaning,5,2026-08-01T10:54:00,2026-08-02T17:00,open
CLN0219,1045,1045,Cleaning,2,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0220,1055,1055,Cleaning,1,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0221,1040,1040,Cleaning,4,2026-08-01T13:03:00,2026-08-02T10:00,open
CLN0222,1037,1037,Cleaning,1,2026-08-01T14:06:00,2026-08-02T11:00,open
CLN0223,1015,1015,Cleaning,4,2026-08-01T15:09:00,2026-08-02T12:00,open
CLN0224,1043,1043,Cleaning,2,2026-08-01T08:12:00,2026-08-02T13:00,closed
CLN0225,1017,1017,Cleaning,3,2026-08-01T09:15:00,2026-08-02T14:00,pending
CLN0226,1026,1026,Cleaning,4,2026-08-01T10:18:00,2026-08-02T15:00,open
CLN0227,1001,1001,Cleaning,4,2026-08-01T11:21:00,2026-08-02T16:00,open
CLN0228,1043,1043,Cleaning,3,2026-08-01T12:24:00,2026-08-02T17:00,open
CLN0229,1030,1030,Cleaning,2,2026-08-01T13:27:00,2026-08-02T18:00,open
CLN0230,1019,1019,Cleaning,1,2026-08-01T14:30:00,2026-08-02T09:00,pending
CLN0231,1032,1032,Cleaning,3,2026-08-01T15:33:00,2026-08-02T10:00,closed
CLN0232,1035,1035,Cleaning,5,2026-08-01T08:36:00,2026-08-02T11:00,open
CLN0233,1024,1024,Cleaning,3,2026-08-01T09:39:00,2026-08-02T12:00,open
CLN0234,1019,1019,Cleaning,5,2026-08-01T10:42:00,2026-08-02T13:00,open
CLN0235,1025,1025,Cleaning,2,2026-08-01T11:45:00,2026-08-02T14:00,pending
CLN0236,1055,1055,Cleaning,3,2026-08-01T12:48:00,2026-08-02T15:00,open
CLN0237,1048,1048,Cleaning,2,2026-08-01T13:51:00,2026-08-02T16:00,open
CLN0238,1002,1002,Cleaning,5,2026-08-01T14:54:00,2026-08-02T17:00,closed
CLN0239,1036,1036,Cleaning,1,2026-08-01T15:57:00,2026-08-02T18:00,open
CLN0240,1051,1051,Cleaning,2,2026-08-01T08:00:00,2026-08-02T09:00,pending
CLN0241,1048,1048,Cleaning,4,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0242,1006,1006,Cleaning,4,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0243,1041,1041,Cleaning,3,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0244,1027,1027,Cleaning,5,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0245,1032,1032,Cleaning,2,2026-08-01T13:15:00,2026-08-02T14:00,closed
CLN0246,1026,1026,Cleaning,3,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0247,1010,1010,Cleaning,5,2026-08-01T15:21:00,2026-08-02T16:00,open
CLN0248,1029,1029,Cleaning,2,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0249,1015,1015,Cleaning,5,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0250,1047,1047,Cleaning,4,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0251,1024,1024,Cleaning,2,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0252,1017,1017,Cleaning,4,2026-08-01T12:36:00,2026-08-02T11:00,closed
CLN0253,1006,1006,Cleaning,1,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0254,1024,1024,Cleaning,1,2026-08-01T14:42:00,2026-08-02T13:00,open
CLN0255,1025,1025,Cleaning,5,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0256,1020,1020,Cleaning,4,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0257,1055,1055,Cleaning,5,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0258,1012,1012,Cleaning,3,2026-08-01T10:54:00,2026-08-02T17:00,open
CLN0259,1036,1036,Cleaning,2,2026-08-01T11:57:00,2026-08-02T18:00,closed
CLN0260,1034,1034,Cleaning,1,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0261,1024,1024,Cleaning,5,2026-08-01T13:03:00,2026-08-02T10:00,open
CLN0262,1021,1021,Cleaning,2,2026-08-01T14:06:00,2026-08-02T11:00,open
CLN0263,1037,1037,Cleaning,1,2026-08-01T15:09:00,2026-08-02T12:00,open
CLN0264,1018,1018,Cleaning,4,2026-08-01T08:12:00,2026-08-02T13:00,open
CLN0265,1019,1019,Cleaning,3,2026-08-01T09:15:00,2026-08-02T14:00,pending
CLN0266,1010,1010,Cleaning,5,2026-08-01T10:18:00,2026-08-02T15:00,closed
CLN0267,1028,1028,Cleaning,1,2026-08-01T11:21:00,2026-08-02T16:00,open
CLN0268,1042,1042,Cleaning,1,2026-08-01T12:24:00,2026-08-02T17:00,open
CLN0269,1016,1016,Cleaning,1,2026-08-01T13:27:00,2026-08-02T18:00,open
CLN0270,1009,1009,Cleaning,2,2026-08-01T14:30:00,2026-08-02T09:00,pending
CLN0271,1006,1006,Cleaning,2,2026-08-01T15:33:00,2026-08-02T10:00,open
CLN0272,1030,1030,Cleaning,5,2026-08-01T08:36:00,2026-08-02T11:00,open
CLN0273,1031,1031,Cleaning,2,2026-08-01T09:39:00,2026-08-02T12:00,closed
CLN0274,1035,1035,Cleaning,3,2026-08-01T10:42:00,2026-08-02T13:00,open
CLN0275,1019,1019,Cleaning,1,2026-08-01T11:45:00,2026-08-02T14:00,pending
CLN0276,1019,1019,Cleaning,1,2026-08-01T12:48:00,2026-08-02T15:00,open
CLN0277,1014,1014,Cleaning,2,2026-08-01T13:51:00,2026-08-02T16:00,open
CLN0278,1024,1024,Cleaning,3,2026-08-01T14:54:00,2026-08-02T17:00,open
CLN0279,1050,1050,Cleaning,3,2026-08-01T15:57:00,2026-08-02T18:00,open
CLN0280,1012,1012,Cleaning,3,2026-08-01T08:00:00,2026-08-02T09:00,closed
CLN0281,1039,1039,Cleaning,5,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0282,1027,1027,Cleaning,4,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0283,1028,1028,Cleaning,4,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0284,1034,1034,Cleaning,3,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0285,1008,1008,Cleaning,3,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0286,1035,1035,Cleaning,3,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0287,1021,1021,Cleaning,5,2026-08-01T15:21:00,2026-08-02T16:00,closed
CLN0288,1010,1010,Cleaning,5,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0289,1010,1010,Cleaning,3,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0290,1034,1034,Cleaning,5,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0291,1012,1012,Cleaning,1,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0292,1036,1036,Cleaning,2,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0293,1025,1025,Cleaning,5,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0294,1027,1027,Cleaning,4,2026-08-01T14:42:00,2026-08-02T13:00,closed
CLN0295,1012,1012,Cleaning,4,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0296,1033,1033,Cleaning,1,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0297,1006,1006,Cleaning,4,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0298,1038,1038,Cleaning,5,2026-08-01T10:54:00,2026-08-02T17:00,open
CLN0299,1023,1023,Cleaning,4,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0300,1038,1038,Cleaning,5,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0301,1002,1002,Cleaning,5,2026-08-01T13:03:00,2026-08-02T10:00,closed
